corp_ceref,corp_name,ro_ceref,ro_full_name,ro_name_chi,ro_ra_types
BDW782,Seazen Resources Asset Management Limited,BKQ462,LAM Tsun Wang,林峻泓,"4,9"
BDW782,Seazen Resources Asset Management Limited,AXS397,LAU Ka Pan,劉嘉斌,"4,9"
BDY276,Smart Empire Asset Management Limited,AHN578,CHENG Chi Yuet,鄭子越,"4,9"
BDY276,Smart Empire Asset Management Limited,AFB193,LEUNG Kwok Wai,梁國威,"4,9"
BDY276,Smart Empire Asset Management Limited,ACC602,"TUNG Yiu Kwong, Thomas",董耀光,9
BEA932,Strait Capital Management (HK) Limited,BGU590,DELLA VEDOVA Shaun Edward,,"1,4,9"
BEA932,Strait Capital Management (HK) Limited,AYV371,SUO Suo Stephen,索索,"1,4,9"
BEC300,SM Investment Advisors Limited,BAM999,ALI-REDA Mohammed M GH SH,,9
BEC300,SM Investment Advisors Limited,BRD939,SALHA Jad,,9
BEC748,Sprint Asset Management Limited,AGH221,"CHAN Ming Sun, Jonathan",陳銘燊,"4,9"
BEC748,Sprint Asset Management Limited,AFL878,WANG Lian,王煉,"4,9"
BEL573,Smart Grandly Asset Management Limited,BLT156,LIANG Xun,梁迅,"4,9"
BEL573,Smart Grandly Asset Management Limited,BKM800,YOUNG Jeffrey,,"4,9"
BEF684,Setia Partners Limited,AFO092,CHUA Hwai Hwee,蔡懷輝,9
BEF684,Setia Partners Limited,AWP899,TAN Johny,,9
BEN407,Shanxi Securities International Asset Management Limited,AXK321,GUO Biao,郭彪,"4,5,9"
BEN407,Shanxi Securities International Asset Management Limited,BHN014,SONG Qihu,宋启虎,"4,5,9"
BEN407,Shanxi Securities International Asset Management Limited,BPI539,YANG Xu,楊旭,9
BEO645,Sinostone Capital Management Company Limited,AMT911,DU Qing,杜青,9
BEO645,Sinostone Capital Management Company Limited,BQB617,WANG Hengli,王亨利,9
BEO645,Sinostone Capital Management Company Limited,BEW622,YU Xiao,喻驍,9
BES440,Solaris Capital Advisors (HK) Limited,AWR710,LIU Jenny Chiao-ping,,"4,9"
